DESCRIZIONE,LONGITUDINE,LATITUDINE
Piazza Anfiteatro,14.4952483,40.74970709999999
Anfiteatro di Pompei,14.4952145,40.751212
Palestra Grande,14.49405,40.75072
Porta Nocera,14.4934226,40.7495633
Orto dei Fuggiaschi,14.4928842,40.7494165
Casa della Nave Europa,14.49191,40.75052
Casa del Triclinio all'aperto,14.4926588,40.7509034
Casa del Foro Boario,14.49448,40.75237
Porta Sarno,14.4944747,40.75284
Villa di Giulia Felice,14.493381,40.75193
Casa di Ottavio Quartione,14.4926265,40.7516893
Casa del Moralista,14.4920329,40.7517761
Casa dell'Efebo,14.4899734,40.75044199999999
Casa e Thermopolium di Vetutius Placidus,14.4902611,40.7508351
Casa del Menandro,14.4899073,40.7497033
Casa dei Ceii,14.4894956,40.7499321
Casa del Criptoportico,14.4893663,40.7503863
Tempio di Iside,14.488325,40.749225
Teatro Grande,14.4884034,40.7488173
Foro Triangolare,14.48785,40.74851
Porta di Stabia,14.49008,40.74827
Casa di Obellio Firmo,14.488923,40.752871
Casa delle Nozze d'Argento,14.486437,40.75264509999999
Gladiators' Barracks,14.488226,40.752816
Bakery,14.4875724,40.7512239
Terme Stabiane,14.4876919,40.7500534
Lupanare di Pompei,14.4868047,40.7502816
Casa dell'Orso Ferito,14.48638560000001,40.7505894
Basilica Pompeiana,14.484459,40.74871749999999
Tempio di Venere,14.4837369,40.7484505
Antiquarium di Pompei,14.4833818,40.7482742
Foro di Pompei,14.4847282,40.7492886
Santuario di Apollo,14.4844212,40.7491871
Granai del Foro,14.4842891,40.74969460000001
Terme del Foro,14.4840682,40.7504451
Tempio della Fortuna Augusta,14.4844556,40.75068609999999
Casa del Poeta Tragico,14.4837825,40.75078550000001
Casa del Fauno,14.4844303,40.7513657
Casa dei Dioscuri,14.483753,40.7517303
Casa del Chirurgo,14.4818716,40.7515959
Porta Ercolano,14.4812241,40.75177089999999
Necropoli di Porta Ercolano,14.47990549999999,40.75240399999999
Casa di Apollo,14.4827398,40.7524158
Casa dei Vettii,14.4845751,40.7521154
Casa degli Amorini Dorati,14.4850163,40.7522505
Casa di Leda e il Cigno,14.4846981,40.7529368
Porta Capua - Scavi,14.4866645,40.7542549
Porta Vesuvio,14.48413490000001,40.753367
Necropoli di Porta Nola,14.4907549,40.7540599
Porta Marina,14.4831917,40.7485259
Casa di Orione,14.4870196,40.7524392
Piazza Esedra,14.4840813,40.7473447
Villa di Diomede,14.478891,40.752510
Villa dei Misteri,14.4774634,40.75368829999999
